,Cluster,Biomarker,Relations
4526,40,t-tau in CSF,"[{'article': 'PMC7424995.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7424995.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
3511,40,Tau formation,"[{'article': 'PMC6448216.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Diagnosis: Alzheimer's Disease""}]"
3506,40,Tau Protein,"[{'article': 'PMC5516350.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC5516350.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Treatment: Vaccines or antibodies targeting tau protein'}, {'article': 'PMC6201586.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
1945,40,Hyperphosphorylated tau (phospho-tau),"[{'article': 'PMC4410460.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
2911,40,Plasma phosphorylated tau (p-tau),"[{'article': 'PMC10787596.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Dementia'}]"
4355,40,p-tau in CSF,"[{'article': 'PMC7424995.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7424995.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4356,40,p-tau levels,"[{'article': 'PMC7890889.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4357,40,p-tau pathology,"[{'article': 'PMC10075195.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Memory performance and RI'}]"
2737,40,PG5 (Ser(P)409)-positive Tau,"[{'article': 'PMC4294473.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}]"
2672,40,P181 tau,"[{'article': 'PMC7067750.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7067750.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7067750.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2666,40,P-tau231,"[{'article': 'PMC10710152.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC10710152.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC10710152.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
3507,40,Tau accumulation,"[{'article': 'PMC6167961.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Alzheimer’s Disease'}]"
3513,40,Tau hyperphosphorylation,"[{'article': 'PMC10294511.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3226277.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2673,40,P181 tau (ptau),"[{'article': 'PMC7067750.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease""}]"
2675,40,P231-Tau,"[{'article': 'PMC4396171.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4358,40,p-tau(181),"[{'article': 'PMC8866346.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease prognosis""}, {'article': 'PMC8866346.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC8866346.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Pathological cerebral spinal fluid profile'}, {'article': 'PMC8866346.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Alzheimer's Disease""}]"
3512,40,Tau fragments,"[{'article': 'PMC6357742.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
4549,40,tau tangles,"[{'article': 'PMC8325256.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
3508,40,Tau aggregates,"[{'article': 'PMC4294473.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Neurodegenerative disorders'}]"
2832,40,Phospho-Tau181,"[{'article': 'PMC7523311.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7523311.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
3514,40,Tau isoforms,"[{'article': 'PMC4294473.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Disease-specific inclusion composition'}, {'article': 'PMC5450399.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
1215,40,Cortical tau load,"[{'article': 'PMC7477392.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'WMH burden'}]"
976,40,CSF p-tau,"[{'article': 'PMC4461930.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Prognosis: Changes in phosphorylated tau (p-tau) levels in cerebral spinal fluid'}]"
4366,40,p-tau181Fuji,"[{'article': 'PMC10115176.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
2482,40,N-p-tau217,"[{'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-stage Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Early amyloid-β pathology in cognitively unimpaired individuals'}, {'article': 'PMC7721364.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease progression""}, {'article': 'PMC7721364.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Treatment Selection: Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4540,40,tau hyperphosphorylation,"[{'article': 'PMC4485995.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Neurofibrillary tangles in Alzheimer's Disease""}, {'article': 'PMC4485995.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Neurodegeneration and cell death in Alzheimer's Disease""}]"
4539,40,tau biomarkers,"[{'article': 'PMC7223540.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Disease progression and prognosis in Alzheimer's Disease""}, {'article': 'PMC9202553.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4345,40,p-Tau,"[{'article': 'PMC10013957.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC10013957.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease neuropathology""}, {'article': 'PMC10013957.txt', 'relationship': 'PREDICTS_PROGRESSION', 'object': ""Progression: Mild Cognitive Impairment to Alzheimer's Disease dementia""}, {'article': 'PMC4247762.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Outcome: Neurodegeneration and cognitive decline'}, {'article': 'PMC4247762.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}, {'article': 'PMC4247762.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4247762.txt', 'relationship': 'RESPONDED_TO', 'object': 'Nilotinib treatment'}, {'article': 'PMC4396171.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Cerebral spinal fluid biomarker levels'}, {'article': 'PMC4928349.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC4928349.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis of Alzheimer's Disease""}, {'article': 'PMC8381483.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8381483.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8733254.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4868930.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4868930.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4868930.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Cortical dysfunction in Alzheimer's Disease""}, {'article': 'PMC4868930.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6236893.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4346,40,p-Tau (Ser396),"[{'article': 'PMC4247762.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4247762.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of: Alzheimer's Disease""}]"
977,40,"CSF p-tau (T181, T217, T231)","[{'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Preclinical Alzheimer's Disease""}]"
2836,40,Phosphor-tau181,"[{'article': 'PMC9797897.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
3921,40,anti-tau antibodies,"[{'article': 'PMC8088704.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': ""Therapeutic development for Alzheimer's Disease""}]"
4347,40,p-Tau (Thr181),"[{'article': 'PMC4868930.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
2834,40,Phospho-tau181,"[{'article': 'PMC5234138.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC9797897.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4348,40,p-Tau Ser 396,"[{'article': 'PMC4247762.txt', 'relationship': 'RESPONDED_TO', 'object': 'Nilotinib treatment'}]"
2833,40,Phospho-tau (tau-p181),"[{'article': 'PMC9202553.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2842,40,Phosphorylated tau (p-tau(181)),"[{'article': 'PMC8866346.txt', 'relationship': 'PREDICTS_PRESENCE_OF', 'object': 'Nonpathological (A−/T−/N−) cerebral spinal fluid profile'}]"
4553,40,tau-phosphorylated,"[{'article': 'PMC4979550.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2423,40,Mid‐p‐tau231,"[{'article': 'PMC7721364.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Early changes in preclinical Alzheimer's Disease""}]"
2422,40,Mid‐p‐tau181,"[{'article': 'PMC7721364.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
1557,40,FTD-4R tau,"[{'article': 'PMC6110931.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Mixed pathology in Alzheimer's Disease""}]"
4365,40,p-tau181ADx,"[{'article': 'PMC10115176.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Abnormal Aβ status in Alzheimer's Disease""}, {'article': 'PMC10115176.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
2419,40,Mid-p-tau181,"[{'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease (standard assay)""}, {'article': 'PMC7721364.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
2481,40,N-p-tau181,"[{'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-stage Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Early amyloid-β pathology in cognitively unimpaired individuals'}, {'article': 'PMC7721364.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Levels reflect the presence of amyloid-β pathology'}, {'article': 'PMC7721364.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease progression""}, {'article': 'PMC7721364.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Treatment Selection: Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
3601,40,Total tau protein,"[{'article': 'PMC6201586.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4547,40,tau protein phosphorylation,"[{'article': 'PMC9962062.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC9962062.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Outcome: Improved Cognitive Functions'}]"
3602,40,Total-Tau,"[{'article': 'PMC10287562.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6174237.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
2839,40,Phosphorylated tau,"[{'article': 'PMC10787596.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease (AD)""}, {'article': 'PMC4055052.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4055052.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC4055052.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC4055052.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognosis""}, {'article': 'PMC4132648.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease progression""}, {'article': 'PMC4132648.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4132648.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC4174765.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Associated with poor outcome: Rapid cognitive decline in Alzheimer's Disease""}, {'article': 'PMC4366075.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4487699.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4936020.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4936020.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8314554.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8439008.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8439008.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4862247.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5427593.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6945608.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7477392.txt', 'relationship': 'RELATED_TO', 'object': 'Rapid progression toward AD'}]"
2840,40,Phosphorylated tau (P-tau),"[{'article': 'PMC4606063.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Brain tangle pathology in Alzheimer's Disease""}, {'article': 'PMC4606063.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4606063.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
4423,40,phosphorylated tau (p-tau181),"[{'article': 'PMC7227237.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Response to atabecestat treatment'}]"
4422,40,phosphorylated tau (p-tau),"[{'article': 'PMC8043944.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2838,40,Phosphorylated Tau (p-tau181),"[{'article': 'PMC9295361.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2837,40,Phosphorylated Tau,"[{'article': 'PMC4132648.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4132648.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Alzheimer’s Disease'}, {'article': 'PMC4366075.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4928349.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4868930.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC5450399.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6796854.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Alzheimer's Disease""}, {'article': 'PMC9539040.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response to treatment: Significant decrease following tACS'}]"
4542,40,tau pathology,"[{'article': 'PMC4255368.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Therapeutic target for Alzheimer's Disease""}]"
4541,40,tau oligomers,"[{'article': 'PMC4255368.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4255368.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4255368.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Disease progression in Alzheimer's Disease""}]"
4554,40,tau-positive neuropil threads,"[{'article': 'PMC6679484.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC6679484.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Neuronal loss and cognitive decline in Alzheimer's Disease""}]"
2259,40,MC1 (conformationally changed Tau),"[{'article': 'PMC4294473.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease progression""}]"
4421,40,phosphorylated tau,"[{'article': 'PMC4132648.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4132648.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC4255368.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4255368.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4862247.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6448216.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}]"
2841,40,Phosphorylated tau (P-tau181),"[{'article': 'PMC5565643.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Neurofibrillary tangles in Alzheimer's Disease""}, {'article': 'PMC5565643.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Neurofibrillary tangles in Alzheimer's Disease""}]"
4419,40,phospho-tau,"[{'article': 'PMC4255368.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': 'Selection of immunotherapy approaches'}, {'article': 'PMC4410460.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4410460.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease progression""}, {'article': 'PMC5496518.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease pathology""}, {'article': 'PMC6371616.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Prodromal Alzheimer's Disease""}]"
4417,40,phospho-Tau181,"[{'article': 'PMC7523311.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease (increased levels considered pathological)""}]"
3546,40,TgP301S Tau,"[{'article': 'PMC4294473.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
4543,40,tau peptide fragments,"[{'article': 'PMC6357742.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4544,40,tau phosphorylated at threonine 181 (p-tau),"[{'article': 'PMC6966425.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Diagnose: Alzheimer's Disease""}]"
4545,40,tau phosphorylation,"[{'article': 'PMC4255368.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Cognitive and functional decline in Alzheimer's Disease""}, {'article': 'PMC4615808.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6679855.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6796854.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response: Reduced tau phosphorylation in Alzheimer's Disease mice treated with GV-971""}]"
3603,40,Total-Tau (T-Tau),"[{'article': 'PMC6174237.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
