Cluster_Label,Biomarker,Relations
bcaa,BCG therapy,"[{'article': 'PMC6837488.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Lower incidence of Alzheimer’s disease'}]"
bcaa,BCL2,"[{'article': 'PMC6211704.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}]"
bcaa,Bcl-2,"[{'article': 'PMC9527145.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
bdnf,BDNF ApoE,"[{'article': 'PMC9373273.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
bdnf,BDNF Met-allele,"[{'article': 'PMC9373273.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Cognitive Decline in Episodic Memory and Executive Functions'}]"
bdnf,BDNF levels,"[{'article': 'PMC4397698.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Cognitive function in Alzheimer's Disease""}, {'article': 'PMC5504954.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Improved cognitive functions and delayed onset of Alzheimer's Disease symptoms""}, {'article': 'PMC5504954.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Cognitive improvement in Alzheimer's Disease models""}]"
bdnf,BDNF plasma levels,"[{'article': 'PMC5348543.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Dance intervention effectiveness'}]"
bdnf,BDNF-Val66Met polymorphism,"[{'article': 'PMC4487699.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
bdnf,BDNF,"[{'article': 'PMC11274940.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC1325254.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Protection against neurodegeneration in Alzheimer's Disease""}, {'article': 'PMC2765081.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Memory and long-term potentiation'}, {'article': 'PMC3110111.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Alzheimer's Disease: Brain function improvement through exercise""}, {'article': 'PMC3110111.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3237323.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Cognitive enhancement and prevention of memory deficits in Alzheimer's Disease""}, {'article': 'PMC3237323.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3237323.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'J147 treatment'}, {'article': 'PMC3237323.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Improved learning and memory in AD mice'}, {'article': 'PMC3581819.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Cognitive performance in Alzheimer's Disease""}, {'article': 'PMC3706879.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive improvement in Alzheimer's Disease mice""}, {'article': 'PMC3706879.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Better outcome in Alzheimer's Disease""}, {'article': 'PMC3706879.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""J147 treatment in Alzheimer's Disease mice""}, {'article': 'PMC3706879.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Cognitive Function in Alzheimer's Disease""}, {'article': 'PMC3706879.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC3706879.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4150993.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Better cognitive outcomes and protection against cognitive decline in Alzheimer's Disease""}, {'article': 'PMC4333880.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4333880.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4401690.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Better outcome in Alzheimer's Disease""}, {'article': 'PMC4487699.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Synaptic plasticity and memory improvement in Alzheimer's Disease""}, {'article': 'PMC4563885.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4675859.txt', 'relationship': 'INCREASES', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4683859.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4747225.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Improved neurological outcomes in traumatic brain injury'}, {'article': 'PMC4908397.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Neuronal survival and differentiation'}, {'article': 'PMC4908397.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8201462.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Cognitive enhancement in Alzheimer's Disease""}, {'article': 'PMC8211849.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease through exercise-induced response""}, {'article': 'PMC8211849.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Exercise-induced neurotrophic responses'}, {'article': 'PMC8211849.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Alzheimer’s Disease'}, {'article': 'PMC8470960.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ' Promotion of mitochondrial biogenesis, synaptic plasticity, and cellular stress resistance'}, {'article': 'PMC8470960.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Improved cognitive functioning and neuroprotection in Alzheimer's Disease""}, {'article': 'PMC8470960.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Promotes mitochondrial biogenesis, synaptic plasticity, and cellular stress resistance in Alzheimer's Disease""}, {'article': 'PMC8645072.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8645072.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Lower concentrations in Alzheimer's Disease""}, {'article': 'PMC8645072.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8645072.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Changes in MoCA scores over 2 weeks'}, {'article': 'PMC8645072.txt', 'relationship': 'RESPONDED_TO', 'object': 'Response to tDCS treatment'}, {'article': 'PMC8645072.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Individual responses to tDCS stimulation'}, {'article': 'PMC8857690.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4397698.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4397698.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4397698.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5348543.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Neuroplasticity and cognitive improvements in Alzheimer's Disease""}, {'article': 'PMC5348543.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Cognitive function in Alzheimer's Disease""}, {'article': 'PMC5348543.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Neuroplasticity and cognitive function in elderly individuals'}, {'article': 'PMC5348543.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Neuroplasticity in aging human brain'}, {'article': 'PMC5348543.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Prevention of gray matter and cognitive decline in elderly'}, {'article': 'PMC5427593.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5427593.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Improved cognitive function in AD models'}, {'article': 'PMC5504954.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC5504954.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Improved cognitive function and reduced risk of dementia'}, {'article': 'PMC6040685.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Prognosis: Neuroplasticity in elderly'}, {'article': 'PMC6040685.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Increased plasma BDNF levels after dancing'}, {'article': 'PMC6040685.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Outcome: Improved brain volume and cognitive function'}, {'article': 'PMC6040685.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence of increased plasma BDNF levels after dance training'}, {'article': 'PMC6040685.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6040685.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6162846.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Cognitive benefit in mild cognitive impairment'}, {'article': 'PMC6225735.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Reflects response to treatment in Alzheimer's Disease""}, {'article': 'PMC6406356.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Synaptic plasticity and neurogenesis'}, {'article': 'PMC6530014.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Improved cognition and reduced Aβ plaque formation in AD animal models'}, {'article': 'PMC6893800.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Elevated neurotrophin levels indicating improved cognitive function in Alzheimer's Disease""}, {'article': 'PMC6893800.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Improved cognitive performance in Alzheimer's Disease""}, {'article': 'PMC6893800.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6916654.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC6945614.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Alzheimer’s disease progression'}, {'article': 'PMC6945614.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Cognitive decline and functional abilities in Alzheimer’s disease'}, {'article': 'PMC6945614.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': 'Aerobic exercise interventions'}, {'article': 'PMC6945614.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Neurogenesis and synaptic function in Alzheimer’s disease'}, {'article': 'PMC6945614.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Reflects response to aerobic training in Alzheimer's Disease patients""}, {'article': 'PMC6945614.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6945614.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease outcomes""}, {'article': 'PMC6945614.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response to aerobic training in Alzheimer's Disease""}, {'article': 'PMC6945614.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response to exercise training in Alzheimer's Disease patients""}, {'article': 'PMC6945614.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Exercise training response monitoring in Alzheimer's Disease""}, {'article': 'PMC6945614.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response to aerobic training'}, {'article': 'PMC6945614.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Aerobic training'}, {'article': 'PMC6945614.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'No significant change in plasma BDNF levels in response to training interventions.'}, {'article': 'PMC6945614.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease treatment""}, {'article': 'PMC6945614.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6945614.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7001626.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Better outcome in Alzheimer's Disease""}, {'article': 'PMC7067577.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7274941.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7274941.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7274941.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7592675.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7648990.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Amelioration of brain network deficiencies and delayed disease progression'}, {'article': 'PMC7648990.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7822717.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7822717.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Alzheimer Disease'}, {'article': 'PMC7822717.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Prognosis: Improved synaptic plasticity and cognitive function in Alzheimer Disease'}, {'article': 'PMC7930223.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response to rTMS treatment'}, {'article': 'PMC7934383.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7934383.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9246122.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Pro-cognitive effects in Alzheimer's Disease""}, {'article': 'PMC9246122.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Pro-cognitive effects in Alzheimer's Disease""}, {'article': 'PMC9269742.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Exercise-induced response'}, {'article': 'PMC9269742.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Neurotrophic Factor Levels'}, {'article': 'PMC9269742.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9389745.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Acupuncture upregulates BDNF expression, promoting neurogenesis.'}, {'article': 'PMC9527145.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9527145.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Enhances brain-derived neurotrophic factor (BDNF)/tropomyosin-related kinase B'}, {'article': 'PMC9962062.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Neurotrophic support in cognitive recovery'}, {'article': 'PMC9962062.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Restoration of synaptic proteins and neuronal survival'}]"
bdnf/trkb,BDNF/TrkB,"[{'article': 'PMC9527145.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis: Alzheimer's Disease""}]"
bdnf/trkb,TrkB,"[{'article': 'PMC2765081.txt', 'relationship': 'PREDICTS_SURVIVAL', 'object': 'Synaptic plasticity'}]"
bdnf/trkb,PKB,"[{'article': 'PMC6679855.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Neurodegeneration in Alzheimer's Disease""}]"
bdnf/trkb,SAPK/JNK,"[{'article': 'PMC4694064.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Abnormal tau phosphorylation in Alzheimer's Disease""}, {'article': 'PMC4694064.txt', 'relationship': 'RESPONDED_TO', 'object': ""J147 treatment in Alzheimer's Disease""}, {'article': 'PMC4694064.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Inflammatory response in Alzheimer's Disease""}]"
bdnf/trkb,SYK,"[{'article': 'PMC11274940.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Modulation of Aβ phagocytosis and cognitive deficits in AD'}, {'article': 'PMC11274940.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Development of DAM and Aβ deposition in AD'}, {'article': 'PMC11274940.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Target for treatment: Rescued microglia activation.'}]"
bec,BEC 96 Total,"[{'article': 'PMC7928298.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive impairment in Alzheimer's Disease""}]"
bec,C9orf72,"[{'article': 'PMC6158742.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
bec,C9ORF72,"[{'article': 'PMC6110931.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Linked to primary progressive aphasia (PPA) variants'}]"
bec,"C99, C89, and C83","[{'article': 'PMC2880593.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
bec,BEC96,"[{'article': 'PMC7928298.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
berg,Berg Balance Scale (BBS),"[{'article': 'PMC4431827.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Poor functional balance and increased risk of falling in Alzheimer's Disease patients""}, {'article': 'PMC4431827.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Balance ability and functional outcomes in Alzheimer's Disease""}]"
berg,Berg Balance Scale,"[{'article': 'PMC4722852.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
berg,BBS (Berg Balance Scale),"[{'article': 'PMC3382377.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Balance improvements in Alzheimer's Disease""}]"
bfgf,bFGF,"[{'article': 'PMC8789895.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
bfgf,Basic fibroblast growth factor [BFGF],"[{'article': 'PMC8789895.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}]"
bfgf,FGF-2,"[{'article': 'PMC5234138.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognosis""}, {'article': 'PMC5234138.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response: Increase in cerebral spinal fluid levels reflects response to resveratrol treatment in Alzheimer's Disease patients.""}]"
bfgf,FGF9,"[{'article': 'PMC5445077.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Better cognitive performance in AD mice'}, {'article': 'PMC5445077.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5445077.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5445077.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Reduction in Alzheimer's Disease""}]"
bhb,BHB levels,"[{'article': 'PMC2731764.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of ketosis in Alzheimer's Disease patients""}, {'article': 'PMC2731764.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Cognitive performance improvement in E4(-) subjects'}, {'article': 'PMC2731764.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Correlation with improvement in ADAS-Cog score in E4(-) subjects'}]"
bhb,BMS,"[{'article': 'PMC10475546.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': 'Exercise training for older adults with cognitive decline'}]"
bhb,Blautia,"[{'article': 'PMC5648830.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cerebral spinal fluid Aβ42/Aβ40 ratio (lower levels reflect greater amyloid burden)'}, {'article': 'PMC5648830.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cerebral spinal fluid p-tau (higher levels reflect greater neurofibrillary tangle pathology)'}, {'article': 'PMC5648830.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cerebral spinal fluid p-tau/Aβ42 ratio (higher values imply greater AD pathology)'}]"
bhb,BDS,"[{'article': 'PMC5326769.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Executive dysfunction in Alzheimer's Disease""}]"
bhb,BDI-II,"[{'article': 'PMC4468784.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Outcome: Depression in Alzheimer's Disease""}, {'article': 'PMC7930223.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Depression in Alzheimer's Disease patients""}]"
bhb,BHB,"[{'article': 'PMC2731764.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response to treatment with AC-1202'}, {'article': 'PMC2731764.txt', 'relationship': 'BIOMARKER_DYNAMICS_UNDER_TREATMENT', 'object': 'Ketone body levels post-dosing'}, {'article': 'PMC2731764.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Cognitive improvement in E4(-) subjects'}, {'article': 'PMC2731764.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Monitor: Serum BHB levels during treatment'}, {'article': 'PMC2731764.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3213220.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response: Changes in serum β-hydroxybutyrate levels in Alzheimer's Disease""}, {'article': 'PMC8470960.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Promotes mitochondrial biogenesis, synaptic plasticity, and cellular stress resistance in Alzheimer's Disease""}]"
bhb,A2m,"[{'article': 'PMC8581408.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Amyloid-β clearance'}]"
bielschowsky,Bielschowsky silver stain,"[{'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
bielschowsky,Bilophila,"[{'article': 'PMC8843023.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Contribution to AD pathology'}]"
bielschowsky,BI,"[{'article': 'PMC3481364.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Impairment in activities of daily living in Alzheimer's Disease""}, {'article': 'PMC3481364.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Assessment of functional performance in AD'}]"
bielschowsky,Bielschowsky silver,"[{'article': 'PMC4003513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
bielschowsky,Bielschowsky,"[{'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
bin1,Bridging integrator 1 (BIN1),"[{'article': 'PMC11274940.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Proinflammatory activation and neurodegeneration in Alzheimer's Disease""}]"
bin2,BIN1 risk variant,"[{'article': 'PMC4876682.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Increased tau loads in AD patients'}]"
bin3,BIN1,"[{'article': 'PMC4615808.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Neurofibrillary tangles in Alzheimer's Disease""}, {'article': 'PMC4617238.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease age at onset""}, {'article': 'PMC4876682.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Alzheimer’s Disease'}, {'article': 'PMC5068716.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6916654.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
blalock,Blalock Alzheimer's Disease Up pathway,"[{'article': 'PMC4890804.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': ""Alzheimer's Disease""}]"
blalock,Blalock Alzheimer’s Disease Down pathway,"[{'article': 'PMC4890804.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
blalock,Blalock Alzheimer’s Disease Up pathway,"[{'article': 'PMC4890804.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease prognosis""}, {'article': 'PMC4890804.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
blood-based,blood-based biomarkers,"[{'article': 'PMC8416781.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8549374.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-stage Alzheimer's Disease""}, {'article': 'PMC8549374.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Early-stage Alzheimer's Disease""}]"
blood-based,blood biomarkers,"[{'article': 'PMC6052695.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Differential diagnosis of Alzheimer’s disease vs frontotemporal dementia'}]"
blood-based,markers of angiogenesis,"[{'article': 'PMC8645072.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
blood-based,cardiovascular biomarkers,"[{'article': 'PMC7934383.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Monitored during treatment'}]"
blood-based,Plasma biomarkers,"[{'article': 'PMC4568340.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}, {'article': 'PMC4568340.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Monitoring: Preclinical treatment of AD in adults with DS'}, {'article': 'PMC6966425.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Guides treatment selection: Alzheimer's Disease""}]"
blood-based,various other experimental biomarkers,"[{'article': 'PMC8381483.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Improvements on various other experimental biomarkers'}]"
