,Biomarker,Relations,Cluster
197,APOE ε4 allele,"[{'article': 'PMC1325254.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC1325254.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC1373642.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC1373642.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC1373642.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC1373642.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC1373642.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC1373642.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC1373642.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease prognosis""}, {'article': 'PMC1373642.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Functional decline in the medial temporal lobe (MTL) in individuals with a family history of AD'}, {'article': 'PMC1373642.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Increased production of β-amyloid, reduced synaptic plasticity, and impaired hippocampus-dependent spatial memory'}, {'article': 'PMC1373642.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Greater longitudinal age-related decline in episodic memory functions in older ε4 carriers'}, {'article': 'PMC1373642.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Reduced hippocampal activation during a novel-picture encoding task in ε3/4 heterozygotes'}, {'article': 'PMC2194921.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3523068.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3695013.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Associated with: Modification of cognitive functioning and GM reduction in AD patients'}, {'article': 'PMC4346122.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4918115.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Increased incidence of amyloid-related imaging abnormalities with edema or effusions (ARIA-E)'}, {'article': 'PMC4928349.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4862247.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Late-onset Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Increased amyloid-beta deposition and neuroinflammation in Alzheimer's Disease""}, {'article': 'PMC5103503.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Increased anxiety and depression in ε4-positive group'}, {'article': 'PMC5103503.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC5103503.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Increased risk of Alzheimer's Disease""}, {'article': 'PMC5103503.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC5576287.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}, {'article': 'PMC5668981.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'cognitive function'}, {'article': 'PMC6174237.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6374283.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6374283.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Early cognitive decline in Alzheimer's Disease""}, {'article': 'PMC6374283.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Preclinical Alzheimer's Disease""}, {'article': 'PMC6374283.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Progression of Alzheimer's Disease""}, {'article': 'PMC6374283.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Clinical trials for Alzheimer's Disease""}, {'article': 'PMC6439956.txt', 'relationship': 'PREDICTS_MORTALITY', 'object': 'Increased mortality risk in individuals with dementia'}, {'article': 'PMC6439956.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Increased risk of developing dementia'}, {'article': 'PMC6547570.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Progression of sporadic Alzheimer's Disease""}, {'article': 'PMC6547570.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Risk of developing Alzheimer's Disease in individuals with Subjective Cognitive Decline (SCD)""}, {'article': 'PMC6910674.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease progression""}, {'article': 'PMC7364345.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7477392.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Increased risk of Alzheimer's Disease""}]",396
198,APOE ε4 allele carriers,"[{'article': 'PMC6152871.txt', 'relationship': 'RESPONDED_TO', 'object': 'Nilvadipine treatment'}, {'article': 'PMC6152871.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Differential effects in Alzheimer's Disease treatment""}]",78
199,APOE ε4 genotype,"[{'article': 'PMC10013957.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Increased risk in individuals with Subjective Cognitive Decline (SCD)'}, {'article': 'PMC5648830.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6945608.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease risk assessment""}]",403
200,APOE ε4-allele,"[{'article': 'PMC6174237.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6174237.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]",396
201,APOE-4,"[{'article': 'PMC4150993.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Increased risk of Alzheimer's Disease diagnosis""}]",142
202,APOE-ɛ4,"[{'article': 'PMC8351379.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8351379.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",142
203,APOE-ɛ4 genotype,"[{'article': 'PMC8351379.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's disease genetic risk""}]",403
204,APOE-ε4,"[{'article': 'PMC4107377.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4107377.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC546007.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease prognosis""}, {'article': 'PMC546007.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC546007.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC546007.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC546007.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Alzheimer's Disease""}, {'article': 'PMC546007.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8302739.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis: Alzheimer's Disease""}, {'article': 'PMC8302739.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC8302739.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Outcome: Higher risk of Alzheimer's Disease""}, {'article': 'PMC8302739.txt', 'relationship': 'IS_BASIS_FOR_THERAPY_CHOICE', 'object': ""Therapy: Oligogenic risk score for Alzheimer's Disease""}, {'article': 'PMC8302739.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Increased risk for Alzheimer's Disease""}, {'article': 'PMC8302739.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Higher risk for Alzheimer's Disease with lower burden of common AD risk alleles""}, {'article': 'PMC8302739.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Dementia (Alzheimer's Disease)""}, {'article': 'PMC8302739.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8314554.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8314554.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prevalence of low Aβ pathology burden in Alzheimer's Disease""}, {'article': 'PMC8351379.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC4820235.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Increased risk of cognitive decline'}, {'article': 'PMC4820235.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Greater response to physical activity'}, {'article': 'PMC4820235.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognosis""}, {'article': 'PMC4820235.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4820235.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognosis""}, {'article': 'PMC5301048.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Outcome: Higher cerebral spinal fluid cortisol and worse prognosis in Alzheimer's Disease""}, {'article': 'PMC5596480.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Genetic risk for Alzheimer's Disease""}, {'article': 'PMC6429814.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9204250.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Progression from mild cognitive impairment to Alzheimer's Disease""}]",142
205,APOE2,"[{'article': 'PMC9644639.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9644639.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Increased levels of PSD95 in superior temporal cortex'}, {'article': 'PMC9644639.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Most phospholipids'}, {'article': 'PMC9644639.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Increased HDL, CRP, vitamin D, CysC, ApoA, creatinine, and alkaline phosphatase'}, {'article': 'PMC9644639.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Reduced LDL, IGF-1, bilirubin, and ApoB'}, {'article': 'PMC9644639.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Reduced total cholesterol, LDL, lipoprotein A, and ApoB'}, {'article': 'PMC9644639.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Increased apoA1'}, {'article': 'PMC9644639.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Reduced Aβ burden'}]",142
206,APOE3,"[{'article': 'PMC9644639.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",142
207,APOE3-Christchurch (APOE3-Ch),"[{'article': 'PMC9644639.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Resistance against aggressive familial AD'}, {'article': 'PMC9644639.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Reduced tau pathology and neurodegeneration'}]",78
208,APOE3-Jacksonville (APOE3-Jac),"[{'article': 'PMC9644639.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Healthy brain aging and decreased amyloid deposition'}, {'article': 'PMC9644639.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': 'Reduction of apoE self-association and increased lipidation'}]",78
209,APOE3-R145C,"[{'article': 'PMC9644639.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Increased risk for lipid disorders and cardiovascular diseases'}]",78
